Year-Mo,"Colorado Springs, CO"
RegionID,394484.0
SizeRank,80.0
2014-01,1026.0
2014-02,1030.0
2014-03,1035.0
2014-04,1039.0
2014-05,1044.0
2014-06,1048.0
2014-07,1052.0
2014-08,1057.0
2014-09,1061.0
2014-10,1065.0
2014-11,1070.0
2014-12,1074.0
2015-01,1078.0
2015-02,1083.0
2015-03,1088.0
2015-04,1092.0
2015-05,1097.0
2015-06,1102.0
2015-07,1107.0
2015-08,1112.0
2015-09,1118.0
2015-10,1123.0
2015-11,1129.0
2015-12,1136.0
2016-01,1142.0
2016-02,1148.0
2016-03,1155.0
2016-04,1162.0
2016-05,1168.0
2016-06,1175.0
2016-07,1182.0
2016-08,1189.0
2016-09,1196.0
2016-10,1202.0
2016-11,1209.0
2016-12,1215.0
2017-01,1222.0
2017-02,1228.0
2017-03,1234.0
2017-04,1240.0
2017-05,1246.0
2017-06,1252.0
2017-07,1259.0
2017-08,1265.0
2017-09,1272.0
2017-10,1279.0
2017-11,1285.0
2017-12,1291.0
2018-01,1297.0
2018-02,1303.0
2018-03,1308.0
2018-04,1314.0
2018-05,1319.0
2018-06,1324.0
2018-07,1330.0
2018-08,1335.0
2018-09,1340.0
2018-10,1346.0
2018-11,1351.0
2018-12,1357.0
2019-01,1363.0
2019-02,1369.0
2019-03,1376.0
2019-04,1382.0
2019-05,1388.0
2019-06,1395.0
2019-07,1402.0
2019-08,1408.0
2019-09,1413.0
2019-10,1419.0
2019-11,1424.0
2019-12,1429.0
2020-01,1434.0
2020-02,1440.0
2020-03,1445.0
2020-04,1451.0
2020-05,1458.0
2020-06,1464.0
2020-07,1471.0
2020-08,1481.0
2020-09,1490.0
2020-10,1500.0
2020-11,1515.0
2020-12,1529.0
2021-01,1544.0
2021-02,1563.0
2021-03,1581.0
2021-04,1600.0
2021-05,1618.0
2021-06,1637.0
2021-07,1655.0
2021-08,1674.0
2021-09,1693.0
2021-10,1712.0
2021-11,1730.0
2021-12,1749.0
2022-01,1768.0
