observation_date,AVELISPRI19740
2016-07-01,672224
2016-08-01,663229
2016-09-01,658059
2016-10-01,660494
2016-11-01,667987
2016-12-01,698910
2017-01-01,724552
2017-02-01,740052
2017-03-01,744620
2017-04-01,726134
2017-05-01,715065
2017-06-01,703091
2017-07-01,692352
2017-08-01,679540
2017-09-01,678784
2017-10-01,682673
2017-11-01,702513
2017-12-01,734102
2018-01-01,744822
2018-02-01,753738
2018-03-01,758267
2018-04-01,759255
2018-05-01,742102
2018-06-01,721096
2018-07-01,694290
2018-08-01,676140
2018-09-01,667257
2018-10-01,648474
2018-11-01,639865
2018-12-01,650498
2019-01-01,661317
2019-02-01,675430
2019-03-01,689065
2019-04-01,696137
2019-05-01,679586
2019-06-01,670909
2019-07-01,660323
2019-08-01,658699
2019-09-01,657690
2019-10-01,656004
2019-11-01,669672
2019-12-01,680171
2020-01-01,748446
2020-02-01,791748
2020-03-01,796461
2020-04-01,736906
2020-05-01,734735
2020-06-01,734420
2020-07-01,745805
2020-08-01,755974
2020-09-01,760354
2020-10-01,762124
2020-11-01,792109
2020-12-01,819898
2021-01-01,833923
2021-02-01,859898
2021-03-01,876447
2021-04-01,909671
2021-05-01,917319
2021-06-01,896291
2021-07-01,873356
2021-08-01,856645
2021-09-01,855096
2021-10-01,862422
2021-11-01,879008
2021-12-01,909868
2022-01-01,1006692
