[["NAME","POP_2021","state"],
["Oklahoma","3986639","40"],
["Nebraska","1963692","31"],
["Hawaii","1441553","15"],
["South Dakota","895376","46"],
["Tennessee","6975218","47"],
["Nevada","3143991","32"],
["New Mexico","2115877","35"],
["Iowa","3193079","19"],
["Kansas","2934582","20"],
["District of Columbia","670050","11"],
["Texas","29527941","48"],
["Missouri","6168187","29"],
["Arkansas","3025891","05"],
["Michigan","10050811","26"],
["New Hampshire","1388992","33"],
["North Carolina","10551162","37"],
["Ohio","11780017","39"],
["South Carolina","5190705","45"],
["Wyoming","578803","56"],
["California","39237836","06"],
["North Dakota","774948","38"],
["Louisiana","4624047","22"],
["Maryland","6165129","24"],
["Delaware","1003384","10"],
["Pennsylvania","12964056","42"],
["Georgia","10799566","13"],
["Oregon","4246155","41"],
["Minnesota","5707390","27"],
["Colorado","5812069","08"],
["New Jersey","9267130","34"],
["Kentucky","4509394","21"],
["Washington","7738692","53"],
["Maine","1372247","23"],
["Vermont","645570","50"],
["Idaho","1900923","16"],
["Indiana","6805985","18"],
["Montana","1104271","30"],
["New York","19835913","36"],
["Puerto Rico","3263584","72"],
["Connecticut","3605597","09"],
["Florida","21781128","12"],
["Virginia","8642274","51"],
["Massachusetts","6984723","25"],
["Illinois","12671469","17"],
["Mississippi","2949965","28"],
["Arizona","7276316","04"],
["Utah","3337975","49"],
["Wisconsin","5895908","55"],
["Alabama","5039877","01"],
["West Virginia","1782959","54"],
["Rhode Island","1095610","44"],
["Alaska","732673","02"]]
