GEO_ID,NAME,H1_001N,H1_002N,H1_003N
id,Geographic Area Name, !!Total:, !!Total:!!Occupied, !!Total:!!Vacant
1400000US08031000102,"Census Tract 1.02, Denver County, Colorado",1771,1636,135
1400000US08031000201,"Census Tract 2.01, Denver County, Colorado",1652,1568,84
1400000US08031000202,"Census Tract 2.02, Denver County, Colorado",1741,1676,65
1400000US08031000301,"Census Tract 3.01, Denver County, Colorado",3011,2836,175
1400000US08031000302,"Census Tract 3.02, Denver County, Colorado",2262,2152,110
1400000US08031000303,"Census Tract 3.03, Denver County, Colorado",2948,2756,192
1400000US08031000401,"Census Tract 4.01, Denver County, Colorado",1537,1441,96
1400000US08031000403,"Census Tract 4.03, Denver County, Colorado",1995,1810,185
1400000US08031000404,"Census Tract 4.04, Denver County, Colorado",2024,1884,140
1400000US08031000501,"Census Tract 5.01, Denver County, Colorado",976,943,33
1400000US08031000503,"Census Tract 5.03, Denver County, Colorado",1254,1198,56
1400000US08031000504,"Census Tract 5.04, Denver County, Colorado",1761,1675,86
1400000US08031000600,"Census Tract 6, Denver County, Colorado",3318,2811,507
1400000US08031000703,"Census Tract 7.03, Denver County, Colorado",2123,1515,608
1400000US08031000704,"Census Tract 7.04, Denver County, Colorado",1309,1108,201
1400000US08031000705,"Census Tract 7.05, Denver County, Colorado",1445,1349,96
1400000US08031000706,"Census Tract 7.06, Denver County, Colorado",1879,1317,562
1400000US08031000800,"Census Tract 8, Denver County, Colorado",426,367,59
1400000US08031000902,"Census Tract 9.02, Denver County, Colorado",1827,1761,66
1400000US08031000903,"Census Tract 9.03, Denver County, Colorado",1928,1861,67
1400000US08031000904,"Census Tract 9.04, Denver County, Colorado",1879,1777,102
1400000US08031000905,"Census Tract 9.05, Denver County, Colorado",1239,1186,53
1400000US08031001000,"Census Tract 10, Denver County, Colorado",1269,1228,41
1400000US08031001101,"Census Tract 11.01, Denver County, Colorado",1474,1118,356
1400000US08031001102,"Census Tract 11.02, Denver County, Colorado",3342,2986,356
1400000US08031001301,"Census Tract 13.01, Denver County, Colorado",1624,1568,56
1400000US08031001302,"Census Tract 13.02, Denver County, Colorado",1343,1315,28
1400000US08031001401,"Census Tract 14.01, Denver County, Colorado",2320,2241,79
1400000US08031001402,"Census Tract 14.02, Denver County, Colorado",1399,1350,49
1400000US08031001403,"Census Tract 14.03, Denver County, Colorado",1807,1682,125
1400000US08031001500,"Census Tract 15, Denver County, Colorado",1424,1304,120
1400000US08031001601,"Census Tract 16.01, Denver County, Colorado",1909,1700,209
1400000US08031001602,"Census Tract 16.02, Denver County, Colorado",3429,3105,324
1400000US08031001603,"Census Tract 16.03, Denver County, Colorado",3803,3483,320
1400000US08031001703,"Census Tract 17.03, Denver County, Colorado",2675,2308,367
1400000US08031001704,"Census Tract 17.04, Denver County, Colorado",1957,1669,288
1400000US08031001705,"Census Tract 17.05, Denver County, Colorado",3554,3011,543
1400000US08031001706,"Census Tract 17.06, Denver County, Colorado",1862,1631,231
1400000US08031001707,"Census Tract 17.07, Denver County, Colorado",1707,1222,485
1400000US08031001800,"Census Tract 18, Denver County, Colorado",1958,1812,146
1400000US08031001901,"Census Tract 19.01, Denver County, Colorado",1730,1624,106
1400000US08031002000,"Census Tract 20, Denver County, Colorado",2916,2110,806
1400000US08031002101,"Census Tract 21.01, Denver County, Colorado",1680,1575,105
1400000US08031002102,"Census Tract 21.02, Denver County, Colorado",1995,1817,178
