RegionID,RegionName,SizeRank,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01
102001,United States,0,1294,1299,1305,1310,1315,1321,1326,1331,1337,1342,1347,1353,1358,1363,1368,1374,1379,1384,1389,1394,1399,1404,1409,1414,1419,1423,1428,1432,1436,1440,1444,1448,1452,1456,1459,1463,1467,1471,1475,1479,1483,1487,1491,1496,1500,1504,1508,1512,1516,1521,1525,1530,1534,1539,1544,1549,1553,1558,1563,1568,1573,1578,1582,1587,1592,1596,1601,1605,1609,1613,1615,1617,1619,1620,1620,1621,1622,1623,1623,1626,1629,1631,1640,1648,1657,1674,1691,1708,1729,1750,1771,1793,1815,1837,1859,1881,1904
394913,"New York, NY",1,2256,2266,2276,2286,2296,2306,2316,2326,2336,2346,2356,2365,2375,2384,2393,2402,2411,2419,2428,2435,2442,2449,2455,2460,2466,2470,2475,2479,2483,2486,2490,2494,2497,2500,2504,2508,2512,2515,2519,2523,2526,2529,2532,2535,2537,2540,2542,2545,2547,2551,2554,2557,2561,2565,2569,2574,2579,2584,2589,2595,2601,2606,2611,2617,2622,2626,2631,2634,2638,2641,2638,2636,2633,2620,2607,2595,2576,2557,2539,2522,2505,2488,2483,2478,2473,2491,2508,2526,2556,2586,2617,2648,2680,2712,2746,2780,2814
753899,"Los Angeles-Long Beach-Anaheim, CA",2,1792,1803,1814,1825,1835,1846,1857,1868,1878,1889,1900,1911,1922,1932,1942,1953,1963,1974,1985,1996,2007,2018,2029,2040,2051,2061,2072,2082,2092,2101,2111,2120,2130,2139,2148,2158,2167,2176,2186,2195,2203,2212,2221,2229,2237,2245,2252,2260,2268,2275,2283,2291,2299,2307,2315,2323,2331,2339,2347,2354,2362,2369,2376,2383,2390,2397,2403,2409,2414,2419,2421,2422,2424,2422,2421,2419,2417,2414,2412,2412,2412,2412,2420,2428,2437,2457,2477,2497,2524,2550,2577,2604,2631,2659,2687,2716,2744
394463,"Chicago, IL",3,1411,1415,1419,1423,1426,1430,1433,1437,1440,1444,1447,1451,1454,1458,1462,1465,1469,1473,1477,1481,1486,1490,1495,1500,1505,1508,1512,1516,1519,1521,1524,1527,1530,1532,1535,1537,1540,1543,1545,1548,1550,1553,1556,1558,1561,1564,1566,1569,1571,1573,1576,1579,1581,1584,1587,1590,1593,1596,1599,1602,1606,1609,1613,1617,1620,1624,1628,1631,1634,1637,1638,1639,1640,1638,1636,1635,1631,1628,1624,1621,1619,1616,1618,1620,1622,1631,1640,1649,1662,1675,1688,1702,1716,1729,1744,1758,1772
394514,"Dallas-Fort Worth, TX",4,1128,1132,1135,1139,1143,1146,1150,1154,1157,1161,1165,1169,1173,1178,1182,1187,1192,1196,1201,1205,1210,1215,1220,1224,1229,1234,1240,1245,1250,1255,1260,1265,1270,1275,1280,1284,1289,1293,1297,1302,1306,1310,1314,1318,1322,1326,1330,1334,1337,1341,1344,1348,1352,1355,1359,1363,1367,1371,1376,1380,1384,1389,1393,1397,1401,1405,1409,1412,1415,1418,1420,1422,1424,1425,1426,1428,1430,1432,1434,1438,1443,1447,1458,1468,1479,1497,1516,1534,1556,1578,1600,1622,1645,1667,1690,1714,1737
394974,"Philadelphia, PA",5,1327,1330,1333,1336,1338,1341,1344,1346,1349,1352,1355,1358,1361,1364,1367,1370,1373,1377,1380,1383,1387,1391,1394,1398,1401,1405,1408,1411,1414,1417,1420,1423,1426,1429,1431,1434,1436,1439,1442,1444,1447,1450,1453,1456,1459,1462,1465,1468,1472,1475,1479,1483,1487,1491,1494,1499,1503,1507,1511,1515,1520,1524,1528,1532,1536,1540,1544,1548,1552,1555,1558,1560,1563,1564,1566,1568,1570,1572,1574,1577,1580,1583,1589,1595,1601,1613,1624,1636,1650,1665,1680,1695,1710,1725,1740,1756,1771
394692,"Houston, TX",6,1169,1176,1183,1190,1196,1203,1209,1215,1222,1228,1234,1239,1244,1248,1252,1255,1258,1261,1264,1266,1269,1271,1273,1274,1275,1275,1276,1276,1276,1275,1275,1274,1273,1273,1273,1272,1272,1273,1275,1276,1279,1282,1285,1289,1293,1297,1301,1305,1309,1313,1316,1320,1322,1324,1327,1328,1330,1332,1334,1335,1337,1339,1341,1343,1345,1347,1349,1350,1352,1354,1354,1354,1354,1354,1354,1353,1353,1353,1353,1354,1355,1357,1363,1369,1375,1387,1399,1411,1425,1439,1453,1467,1481,1496,1510,1525,1540
395209,"Washington, DC",7,1777,1780,1783,1786,1789,1791,1794,1797,1799,1802,1804,1807,1809,1811,1813,1814,1817,1819,1822,1825,1828,1831,1834,1837,1840,1842,1845,1847,1849,1852,1854,1856,1859,1861,1864,1867,1870,1873,1876,1879,1881,1883,1886,1888,1890,1892,1894,1897,1899,1902,1906,1909,1913,1917,1922,1926,1931,1936,1941,1946,1951,1955,1960,1965,1969,1973,1978,1981,1984,1987,1987,1988,1988,1985,1982,1979,1973,1967,1962,1957,1952,1947,1948,1950,1951,1963,1975,1988,2006,2023,2041,2060,2079,2097,2117,2137,2157
394856,"Miami-Fort Lauderdale, FL",8,1568,1576,1584,1591,1599,1607,1614,1622,1630,1637,1645,1653,1661,1669,1677,1685,1693,1701,1709,1716,1724,1732,1738,1745,1751,1756,1761,1766,1769,1772,1776,1778,1781,1784,1787,1789,1792,1796,1799,1803,1806,1810,1814,1818,1821,1825,1829,1834,1838,1842,1846,1851,1855,1860,1864,1868,1873,1877,1882,1886,1890,1894,1898,1902,1906,1910,1915,1919,1923,1928,1931,1934,1937,1939,1942,1945,1948,1952,1955,1964,1972,1981,2001,2021,2041,2078,2115,2152,2199,2246,2293,2341,2390,2438,2488,2538,2588
394347,"Atlanta, GA",9,1076,1080,1084,1087,1091,1095,1099,1103,1107,1111,1116,1120,1125,1130,1135,1140,1145,1150,1154,1160,1165,1170,1176,1181,1187,1193,1199,1205,1211,1217,1223,1229,1235,1240,1246,1252,1257,1263,1269,1275,1280,1286,1292,1298,1304,1310,1316,1322,1329,1335,1341,1347,1354,1361,1368,1375,1382,1389,1396,1403,1410,1417,1423,1430,1435,1441,1447,1451,1456,1461,1465,1468,1472,1476,1481,1485,1491,1497,1504,1514,1524,1534,1552,1569,1587,1613,1639,1665,1693,1722,1750,1779,1808,1837,1866,1896,1925
