Year-Mo,"Denver, CO"
RegionID,394530
SizeRank,21
2014-01,1189
2014-02,1203
2014-03,1218
2014-04,1233
2014-05,1247
2014-06,1262
2014-07,1276
2014-08,1291
2014-09,1305
2014-10,1320
2014-11,1333
2014-12,1347
2015-01,1361
2015-02,1371
2015-03,1382
2015-04,1392
2015-05,1401
2015-06,1410
2015-07,1419
2015-08,1427
2015-09,1434
2015-10,1442
2015-11,1448
2015-12,1455
2016-01,1461
2016-02,1467
2016-03,1472
2016-04,1477
2016-05,1481
2016-06,1485
2016-07,1489
2016-08,1492
2016-09,1496
2016-10,1499
2016-11,1503
2016-12,1507
2017-01,1511
2017-02,1516
2017-03,1520
2017-04,1525
2017-05,1529
2017-06,1534
2017-07,1539
2017-08,1543
2017-09,1548
2017-10,1553
2017-11,1557
2017-12,1562
2018-01,1566
2018-02,1571
2018-03,1576
2018-04,1580
2018-05,1586
2018-06,1591
2018-07,1596
2018-08,1602
2018-09,1607
2018-10,1613
2018-11,1618
2018-12,1623
2019-01,1629
2019-02,1633
2019-03,1638
2019-04,1643
2019-05,1647
2019-06,1652
2019-07,1656
2019-08,1659
2019-09,1662
2019-10,1665
2019-11,1666
2019-12,1667
2020-01,1667
2020-02,1667
2020-03,1666
2020-04,1665
2020-05,1665
2020-06,1665
2020-07,1664
2020-08,1666
2020-09,1668
2020-10,1671
2020-11,1680
2020-12,1689
2021-01,1699
2021-02,1716
2021-03,1734
2021-04,1751
2021-05,1772
2021-06,1792
2021-07,1813
2021-08,1834
2021-09,1855
2021-10,1876
2021-11,1898
2021-12,1919
2022-01,1941
