Date,Median List Price,SITUS_CITY,SITUS_STATE
7/1/2016,495000,DENVER,CO
8/1/2016,490000,DENVER,CO
9/1/2016,489450,DENVER,CO
10/1/2016,489000,DENVER,CO
11/1/2016,497000,DENVER,CO
12/1/2016,513950,DENVER,CO
1/1/2017,529258,DENVER,CO
2/1/2017,536757,DENVER,CO
3/1/2017,549000,DENVER,CO
4/1/2017,539000,DENVER,CO
5/1/2017,529500,DENVER,CO
6/1/2017,524892,DENVER,CO
7/1/2017,515000,DENVER,CO
8/1/2017,499900,DENVER,CO
9/1/2017,499900,DENVER,CO
10/1/2017,499975,DENVER,CO
11/1/2017,513012,DENVER,CO
12/1/2017,538000,DENVER,CO
1/1/2018,546570,DENVER,CO
2/1/2018,549450,DENVER,CO
3/1/2018,547495,DENVER,CO
4/1/2018,549300,DENVER,CO
5/1/2018,535750,DENVER,CO
6/1/2018,525000,DENVER,CO
7/1/2018,502498,DENVER,CO
8/1/2018,495600,DENVER,CO
9/1/2018,492400,DENVER,CO
10/1/2018,480000,DENVER,CO
11/1/2018,475000,DENVER,CO
12/1/2018,479999,DENVER,CO
1/1/2019,491950,DENVER,CO
2/1/2019,499500,DENVER,CO
3/1/2019,516143,DENVER,CO
4/1/2019,524500,DENVER,CO
5/1/2019,518938,DENVER,CO
6/1/2019,518000,DENVER,CO
7/1/2019,500000,DENVER,CO
8/1/2019,499951,DENVER,CO
9/1/2019,499450,DENVER,CO
10/1/2019,495000,DENVER,CO
11/1/2019,497500,DENVER,CO
12/1/2019,497950,DENVER,CO
1/1/2020,532249,DENVER,CO
2/1/2020,561300,DENVER,CO
3/1/2020,564950,DENVER,CO
4/1/2020,547000,DENVER,CO
5/1/2020,549000,DENVER,CO
6/1/2020,547000,DENVER,CO
7/1/2020,545050,DENVER,CO
8/1/2020,539900,DENVER,CO
9/1/2020,522450,DENVER,CO
10/1/2020,519900,DENVER,CO
11/1/2020,522500,DENVER,CO
12/1/2020,536292,DENVER,CO
1/1/2021,529000,DENVER,CO
2/1/2021,549900,DENVER,CO
3/1/2021,557500,DENVER,CO
4/1/2021,575000,DENVER,CO
5/1/2021,599000,DENVER,CO
6/1/2021,599995,DENVER,CO
7/1/2021,600000,DENVER,CO
8/1/2021,600000,DENVER,CO
9/1/2021,600000,DENVER,CO
10/1/2021,620000,DENVER,CO
11/1/2021,622135,DENVER,CO
12/1/2021,629950,DENVER,CO
1/1/2022,639900,DENVER,CO
