Date,Average List Price,Median List Price,RegionName
7/1/2016,672224,495000,"Denver, CO"
8/1/2016,663229,490000,"Denver, CO"
9/1/2016,658059,489450,"Denver, CO"
10/1/2016,660494,489000,"Denver, CO"
11/1/2016,667987,497000,"Denver, CO"
12/1/2016,698910,513950,"Denver, CO"
1/1/2017,724552,529258,"Denver, CO"
2/1/2017,740052,536757,"Denver, CO"
3/1/2017,744620,549000,"Denver, CO"
4/1/2017,726134,539000,"Denver, CO"
5/1/2017,715065,529500,"Denver, CO"
6/1/2017,703091,524892,"Denver, CO"
7/1/2017,692352,515000,"Denver, CO"
8/1/2017,679540,499900,"Denver, CO"
9/1/2017,678784,499900,"Denver, CO"
10/1/2017,682673,499975,"Denver, CO"
11/1/2017,702513,513012,"Denver, CO"
12/1/2017,734102,538000,"Denver, CO"
1/1/2018,744822,546570,"Denver, CO"
2/1/2018,753738,549450,"Denver, CO"
3/1/2018,758267,547495,"Denver, CO"
4/1/2018,759255,549300,"Denver, CO"
5/1/2018,742102,535750,"Denver, CO"
6/1/2018,721096,525000,"Denver, CO"
7/1/2018,694290,502498,"Denver, CO"
8/1/2018,676140,495600,"Denver, CO"
9/1/2018,667257,492400,"Denver, CO"
10/1/2018,648474,480000,"Denver, CO"
11/1/2018,639865,475000,"Denver, CO"
12/1/2018,650498,479999,"Denver, CO"
1/1/2019,661317,491950,"Denver, CO"
2/1/2019,675430,499500,"Denver, CO"
3/1/2019,689065,516143,"Denver, CO"
4/1/2019,696137,524500,"Denver, CO"
5/1/2019,679586,518938,"Denver, CO"
6/1/2019,670909,518000,"Denver, CO"
7/1/2019,660323,500000,"Denver, CO"
8/1/2019,658699,499951,"Denver, CO"
9/1/2019,657690,499450,"Denver, CO"
10/1/2019,656004,495000,"Denver, CO"
11/1/2019,669672,497500,"Denver, CO"
12/1/2019,680171,497950,"Denver, CO"
1/1/2020,748446,532249,"Denver, CO"
2/1/2020,791748,561300,"Denver, CO"
3/1/2020,796461,564950,"Denver, CO"
4/1/2020,736906,547000,"Denver, CO"
5/1/2020,734735,549000,"Denver, CO"
6/1/2020,734420,547000,"Denver, CO"
7/1/2020,745805,545050,"Denver, CO"
8/1/2020,755974,539900,"Denver, CO"
9/1/2020,760354,522450,"Denver, CO"
10/1/2020,762124,519900,"Denver, CO"
11/1/2020,792109,522500,"Denver, CO"
12/1/2020,819898,536292,"Denver, CO"
1/1/2021,833923,529000,"Denver, CO"
2/1/2021,859898,549900,"Denver, CO"
3/1/2021,876447,557500,"Denver, CO"
4/1/2021,909671,575000,"Denver, CO"
5/1/2021,917319,599000,"Denver, CO"
6/1/2021,896291,599995,"Denver, CO"
7/1/2021,873356,600000,"Denver, CO"
8/1/2021,856645,600000,"Denver, CO"
9/1/2021,855096,600000,"Denver, CO"
10/1/2021,862422,620000,"Denver, CO"
11/1/2021,879008,622135,"Denver, CO"
12/1/2021,909868,629950,"Denver, CO"
1/1/2022,1006692,639900,"Denver, CO"
