INDEX,SCHEDNUM,SITUS_CITY,SITUS_STATE,APPRAISED_TOTAL_VALUE,D_CLASS_CN,SALE_YEAR,SALE_PRICE
12,6.15302E+11,DENVER,CO,183600,RESIDENTIAL-CONDOMINIUM,2017,210000
44,7.09201E+11,DENVER,CO,216800,RESIDENTIAL-CONDOMINIUM,2017,173000
46,5.03818E+11,DENVER,CO,2284500,SFR Grade B,2017,2100000
64,5.1923E+11,DENVER,CO,436600,"SFR Grade C, D, or E, w/RK",2017,396000
67,2.22304E+11,DENVER,CO,274500,SFR Grade C,2017,10
75,1.32331E+11,DENVER,CO,741600,RESIDENTIAL-DUPLEX,2017,652000
107,14351010000,DENVER,CO,85900,VACANT LAND,2017,7740000
134,6.15212E+11,DENVER,CO,186700,RESIDENTIAL-CONDOMINIUM,2017,193000
149,2.3212E+11,DENVER,CO,554700,RESIDENTIAL-ROWHOUSE,2017,511808
151,19211012000,DENVER,CO,364300,SFR Grade C,2017,290000
178,2.18429E+11,DENVER,CO,644900,SFR Grade C,2017,0
188,5.19438E+11,DENVER,CO,340000,SFR Grade C,2017,273000
192,5.04419E+11,DENVER,CO,465200,"SFR Grade C, D, or E, w/RK",2017,277000
248,7.05423E+11,DENVER,CO,273100,RESIDENTIAL-CONDOMINIUM,2017,10
249,5.02332E+11,DENVER,CO,714200,SFR Grade C,2017,10
252,5.14317E+11,DENVER,CO,1311300,SFR Grade B,2017,1250000
260,5.16202E+11,DENVER,CO,303700,SFR Grade D or E,2017,10
261,4.36215E+11,DENVER,CO,372900,SFR Grade C,2017,10
262,2.33109E+11,DENVER,CO,459800,RESIDENTIAL-CONDOMINIUM,2017,462000
285,22307007000,DENVER,CO,460000,SFR Grade C,2017,10
325,2.25317E+11,DENVER,CO,576200,"SFR Grade C, D, or E, w/RK",2017,10
341,2.18428E+11,DENVER,CO,319100,SFR Grade C,2017,349000
386,5.08613E+11,DENVER,CO,351800,SFR Grade C,2017,0
