GEO_ID,"Estimate!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Less than $5,000","Estimate!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!$5,000 to $9,999","Estimate!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!$10,000 to $14,999","Estimate!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!$15,000 to $19,999","Estimate!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $24,999","Estimate!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!$25,000 to $34,999","Estimate!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!$35,000 to $49,999","Estimate!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!$50,000 to $74,999","Estimate!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!$75,000 to $99,999","Estimate!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!$100,000 to $149,999","Estimate!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!$150,000 or more"
1400000US08031000102,26,47,42,67,71,112,55,177,181,318,507
1400000US08031000201,20,32,181,35,139,172,179,223,315,248,119
1400000US08031000202,104,145,87,20,67,186,135,284,248,303,194
1400000US08031000301,206,52,23,23,156,176,185,394,301,428,864
1400000US08031000302,23,0,51,63,19,57,198,299,360,405,593
1400000US08031000303,54,53,50,51,95,136,168,300,125,416,817
1400000US08031000401,21,45,98,60,35,95,148,170,96,363,274
1400000US08031000402,57,85,110,49,279,232,180,313,451,526,806
1400000US08031000501,34,0,11,17,12,31,41,126,122,158,413
1400000US08031000502,109,265,283,155,106,51,203,213,279,353,808
1400000US08031000600,89,74,55,96,129,39,257,319,236,350,415
1400000US08031000701,126,113,215,119,71,225,249,324,267,177,259
1400000US08031000702,139,117,195,150,47,249,161,419,128,241,224
1400000US08031000800,89,81,43,54,48,30,30,11,0,25,0
1400000US08031000902,10,0,57,95,120,221,307,471,293,171,173
1400000US08031000903,62,63,160,102,137,253,230,558,150,164,11
1400000US08031000904,110,160,229,143,141,266,215,322,87,153,125
1400000US08031000905,60,10,62,30,61,164,153,252,178,211,100
1400000US08031001000,58,72,58,151,59,73,282,265,161,204,30
1400000US08031001101,70,51,48,40,21,89,113,178,52,152,163
1400000US08031001102,79,14,64,49,106,101,223,312,317,395,689
1400000US08031001301,34,57,38,144,57,123,304,405,268,248,85
1400000US08031001302,15,39,68,86,95,155,268,294,91,181,103
1400000US08031001401,150,213,105,221,131,196,297,353,331,285,57
1400000US08031001402,80,72,82,50,58,154,296,284,175,207,120
1400000US08031001403,71,57,14,40,49,220,145,352,242,292,108
1400000US08031001500,84,39,20,75,108,139,149,343,195,40,28
1400000US08031001600,176,356,118,84,182,298,445,1208,787,1402,1302
1400000US08031001701,312,257,220,127,24,162,216,617,656,851,1504
1400000US08031001702,243,102,61,125,79,125,243,340,234,461,638
1400000US08031001800,86,148,199,110,90,138,145,270,179,255,165
1400000US08031001901,117,123,112,80,90,148,54,198,73,103,140
1400000US08031001902,0,0,0,0,0,0,8,8,7,4,11
1400000US08031002000,91,44,99,24,21,98,68,134,133,325,455
1400000US08031002100,51,173,158,63,44,196,251,578,360,599,643
1400000US08031002300,72,77,85,44,34,59,306,236,314,401,615
1400000US08031002402,34,28,55,50,21,23,110,118,71,170,198
1400000US08031002403,197,274,220,58,178,160,126,349,299,426,248
1400000US08031002601,177,163,188,150,121,152,251,657,200,343,298
1400000US08031002602,19,43,37,70,45,97,96,345,260,346,394
1400000US08031002701,234,135,155,262,305,382,563,655,425,303,169
1400000US08031002702,137,61,104,102,249,369,512,902,682,616,608
1400000US08031002703,241,92,132,205,243,475,435,805,403,341,264
1400000US08031002801,46,19,73,57,60,106,183,367,306,268,354
1400000US08031002802,8,127,69,156,44,97,566,609,343,282,340
1400000US08031002803,138,15,97,99,46,247,684,626,421,613,330
1400000US08031002901,40,8,40,31,67,156,206,276,236,290,488
1400000US08031002902,40,29,26,16,21,53,81,231,229,393,818
1400000US08031003001,119,18,35,0,63,83,242,318,359,516,966
1400000US08031003002,43,23,7,7,0,107,128,238,170,190,415
1400000US08031003003,25,38,49,4,26,134,91,219,108,239,194
1400000US08031003004,59,64,60,96,37,267,259,323,157,452,636
1400000US08031003101,9,33,12,37,27,95,56,140,76,105,196
1400000US08031003102,158,165,147,95,100,156,181,227,248,224,308
1400000US08031003201,55,150,44,87,39,392,516,592,513,472,587
