DATE,MEDLISPRI19740
2016-07-01,495000.0
2016-08-01,490000.0
2016-09-01,489450.0
2016-10-01,489000.0
2016-11-01,497000.0
2016-12-01,513950.0
2017-01-01,529258.0
2017-02-01,536757.0
2017-03-01,549000.0
2017-04-01,539000.0
2017-05-01,529500.0
2017-06-01,524892.0
2017-07-01,515000.0
2017-08-01,499900.0
2017-09-01,499900.0
2017-10-01,499975.0
2017-11-01,513012.0
2017-12-01,538000.0
2018-01-01,546570.0
2018-02-01,549450.0
2018-03-01,547495.0
2018-04-01,549300.0
2018-05-01,535750.0
2018-06-01,525000.0
2018-07-01,502498.0
2018-08-01,495600.0
2018-09-01,492400.0
2018-10-01,480000.0
2018-11-01,475000.0
2018-12-01,479999.0
2019-01-01,491950.0
2019-02-01,499500.0
2019-03-01,516143.0
2019-04-01,524500.0
2019-05-01,518938.0
2019-06-01,518000.0
2019-07-01,500000.0
2019-08-01,499951.0
2019-09-01,499450.0
2019-10-01,495000.0
2019-11-01,497500.0
2019-12-01,497950.0
2020-01-01,532249.0
2020-02-01,561300.0
2020-03-01,564950.0
2020-04-01,547000.0
2020-05-01,549000.0
2020-06-01,547000.0
2020-07-01,545050.0
2020-08-01,539900.0
2020-09-01,522450.0
2020-10-01,519900.0
2020-11-01,522500.0
2020-12-01,536292.0
2021-01-01,529000.0
2021-02-01,549900.0
2021-03-01,557500.0
2021-04-01,575000.0
2021-05-01,599000.0
2021-06-01,599995.0
2021-07-01,600000.0
2021-08-01,600000.0
2021-09-01,600000.0
2021-10-01,620000.0
2021-11-01,622135.0
2021-12-01,629950.0
2022-01-01,639900.0
